Champion,Patch,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
K'Sante,13.01,Top,19,0.633,0.267,0.900,0.580,0.260,43,34,102,4.3,0.609,0.197,0.110,-77,79,0.1,7.8,0.224,430.000,0.192,0.216,0.41,0.15
Sejuani,13.01,Jungle,19,0.633,0.333,0.967,0.530,0.260,31,43,130,3.7,0.739,0.182,0.420,25,118,-0.1,5,0.139,278.000,0.128,0.162,0.34,0.42
Lucian,13.01,ADC,14,0.467,0.367,0.833,0.430,0.290,46,35,53,2.8,0.733,0.205,0.360,143,64,2.7,9.1,0.301,661.000,0.284,0.265,0.45,0.36
Lulu,13.01,Support,14,0.467,0.033,0.500,0.570,0.360,5,20,141,7.3,0.839,0.153,0.140,170,-214,1.3,0.6,0.020,140.000,0.064,0.093,1.45,0.37
Nami,13.01,Support,14,0.467,0.000,0.467,0.290,0.570,7,28,90,3.5,0.808,0.151,0.210,-194,46,-2.3,0.5,0.022,160.000,0.073,0.086,1.3,0.37
Azir,13.01,Middle,13,0.433,0.300,0.767,0.460,0.380,28,34,61,2.6,0.659,0.209,0.380,76,80,5.6,8.7,0.255,664.000,0.290,0.229,0.44,0.26
Zeri,13.01,ADC,12,0.400,0.300,0.700,0.580,0.500,62,17,56,6.9,0.781,0.155,0.080,49,19,4.9,10.2,0.333,687.000,0.300,0.285,0.4,0.47
Sylas,13.01,Middle,11,0.367,0.300,0.667,0.640,0.090,43,31,61,3.4,0.608,0.250,0.270,-61,123,-3.5,8,0.240,547.000,0.246,0.227,0.35,0.22
Wukong,13.01,Jungle,11,0.367,0.200,0.567,0.270,0.730,37,35,45,2.3,0.689,0.230,0.090,-144,-114,-2.6,5.5,0.168,380.000,0.160,0.193,0.32,0.35
Jax,13.01,Top,9,0.300,0.333,0.633,0.440,0.000,31,38,29,1.6,0.577,0.275,0.000,-315,-262,-7.9,8,0.266,469.000,0.244,0.253,0.46,0.15
Maokai,13.01,Jungle,9,0.300,0.467,0.767,0.440,0.110,14,29,46,2.1,0.645,0.227,0.330,-118,-240,-5.6,5.1,0.143,477.000,0.199,0.164,0.3,0.27
Vi,13.01,Jungle,9,0.300,0.200,0.500,0.560,0.560,14,21,64,3.7,0.655,0.266,0.330,195,150,8.3,5.6,0.147,237.000,0.115,0.173,0.33,0.46
Varus,13.01,ADC,7,0.233,0.300,0.567,0.140,0.140,15,20,24,2,0.527,0.189,0.140,-65,0,-1.3,8.7,0.277,645.000,0.286,0.239,0.4,0.21
Viktor,13.01,Middle,7,0.233,0.000,0.233,0.570,0.710,22,15,28,3.3,0.758,0.211,0.140,59,9,0,9,0.270,751.000,0.347,0.254,0.49,0.13
Caitlyn,13.01,ADC,6,0.200,0.400,0.633,0.670,0.000,29,7,23,7.4,0.650,0.111,0.170,58,3,3.3,9.3,0.292,500.000,0.233,0.251,0.47,0.32
Karma,13.01,Support,6,0.200,0.167,0.367,0.670,0.170,2,11,57,5.4,0.686,0.177,0.330,-6,-52,1.8,0.8,0.025,213.000,0.094,0.097,1.45,0.41
Renekton,13.01,Top,6,0.200,0.300,0.500,0.670,0.500,12,22,23,1.6,0.432,0.344,0.330,113,-2,6.5,8.4,0.244,421.000,0.171,0.223,0.33,0.19
Ashe,13.01,Support,5,0.167,0.733,0.933,0.600,0.000,2,14,41,3.1,0.754,0.192,0.600,17,-64,-5.2,1,0.042,343.000,0.143,0.098,2.36,0.73
Fiora,13.01,Top,5,0.167,0.367,0.533,0.400,0.800,15,6,14,4.8,0.630,0.105,0.000,397,75,10.6,8.9,0.292,582.000,0.267,0.271,0.4,0.17
Ryze,13.01,Middle,5,0.167,0.367,0.533,0.600,0.000,14,17,22,2.1,0.571,0.333,0.200,69,51,7,9.1,0.287,595.000,0.261,0.243,0.38,0.12
Sivir,13.01,ADC,5,0.167,0.033,0.200,0.400,1.000,10,15,27,2.5,0.740,0.181,0.200,-524,-46,-16.4,9.8,0.352,603.000,0.269,0.268,0.35,0.29
Taliyah,13.01,Middle,5,0.167,0.000,0.167,0.600,1.000,17,11,31,4.4,0.667,0.204,0.000,-133,-428,-2,8.5,0.259,698.000,0.265,0.230,0.44,0.17
Akali,13.01,Middle,4,0.133,0.233,0.367,0.250,0.750,13,14,12,1.8,0.556,0.250,0.000,-196,-81,-2.8,7.8,0.238,560.000,0.235,0.218,0.33,0.16
Ezreal,13.01,ADC,4,0.133,0.033,0.167,1.000,1.000,23,0,11,34,0.531,0.000,0.750,837,354,14.3,10,0.319,619.000,0.260,0.273,0.4,0.24
Gwen,13.01,Top,4,0.133,0.133,0.267,0.500,1.000,12,7,12,3.4,0.667,0.175,0.000,-4,-66,-1.5,8.2,0.239,503.000,0.227,0.243,0.34,0.2
Lux,13.01,Support,4,0.133,0.000,0.133,0.500,0.750,2,11,27,2.6,0.707,0.220,0.000,-201,-154,0.8,0.9,0.043,231.000,0.131,0.101,1.26,0.5
Draven,13.01,ADC,3,0.100,0.067,0.167,0.000,1.000,3,11,5,0.7,0.500,0.268,0.330,-745,-477,-20.7,7.6,0.279,407.000,0.252,0.238,0.45,0.21
Elise,13.01,Jungle,3,0.100,0.767,0.867,0.670,0.670,13,5,23,7.2,0.783,0.227,0.330,-45,-205,-5.7,6.2,0.189,463.000,0.190,0.204,0.87,0.6
Gangplank,13.01,Top,3,0.100,0.033,0.133,0.670,1.000,5,9,17,2.4,0.786,0.265,0.670,52,-101,-9,9.2,0.292,643.000,0.321,0.273,0.39,0.05
Gnar,13.01,Top,3,0.100,0.367,0.467,0.000,1.000,4,13,7,0.8,0.393,0.236,0.330,406,293,7.7,8.2,0.254,594.000,0.243,0.237,0.32,0.24
Graves,13.01,Jungle,3,0.100,0.033,0.133,0.670,1.000,10,10,20,3,0.833,0.233,0.000,-229,-86,0.3,7,0.263,462.000,0.199,0.225,0.82,0.71
Heimerdinger,13.01,Support,3,0.100,0.067,0.167,0.330,0.670,1,5,16,3.4,0.395,0.172,0.330,9,177,4.7,1,0.034,315.000,0.136,0.082,1.6,0.51
Irelia,13.01,Middle,3,0.100,0.100,0.200,0.330,0.330,3,16,12,0.9,0.517,0.314,0.330,-3,-29,4,8.9,0.275,314.000,0.168,0.219,0.39,0.11
Ornn,13.01,Top,3,0.100,0.133,0.233,0.670,0.670,1,6,21,3.7,0.564,0.176,0.000,-372,-270,-18,7.3,0.227,340.000,0.140,0.195,0.4,0.13
Amumu,13.01,Jungle,2,0.067,0.000,0.067,1.000,1.000,5,3,21,8.7,0.813,0.250,1.000,552,444,0.5,6.1,0.185,348.000,0.183,0.194,0.35,0.47
Galio,13.01,Middle,2,0.067,0.067,0.133,0.500,1.000,5,6,16,3.5,0.778,0.222,0.000,-16,-52,-8.5,7.6,0.243,351.000,0.168,0.192,0.42,0.14
Jayce,13.01,Middle,2,0.067,0.200,0.333,0.000,0.500,4,5,6,2,0.769,0.156,0.500,290,-166,-7,8.7,0.273,752.000,0.348,0.261,0.56,0.16
Jayce,13.01,Top,2,0.067,0.200,0.333,0.000,0.500,3,5,2,1,0.313,0.152,0.000,386,420,5.5,8.9,0.306,758.000,0.299,0.253,0.5,0.23
Jhin,13.01,ADC,2,0.067,0.033,0.100,0.500,1.000,7,0,8,15,0.750,0.000,0.500,216,279,4,9.2,0.290,402.000,0.182,0.267,0.53,0.14
Kalista,13.01,ADC,2,0.067,0.067,0.167,1.000,1.000,13,3,14,9,0.771,0.143,0.000,102,-246,0.5,7.8,0.263,438.000,0.190,0.262,0.49,0.31
Olaf,13.01,Top,2,0.067,0.067,0.133,0.000,1.000,4,6,3,1.2,0.368,0.171,0.000,-35,-191,6.5,8.4,0.282,513.000,0.259,0.262,0.4,0.29
Rakan,13.01,Support,2,0.067,0.000,0.067,0.500,0.500,2,7,15,2.4,0.680,0.259,0.000,-245,-54,3.5,1.2,0.022,134.000,0.048,0.095,2.17,0.32
Sion,13.01,Top,2,0.067,0.000,0.067,1.000,1.000,5,1,25,30,0.732,0.053,0.000,344,269,9,7.5,0.208,405.000,0.179,0.198,0.31,0.2
Sona,13.01,Support,2,0.067,0.000,0.067,0.500,1.000,2,4,14,4,0.800,0.138,0.500,299,694,0,0.5,0.016,180.000,0.076,0.114,1.23,0.35
Xayah,13.01,ADC,2,0.067,0.000,0.067,0.500,0.500,5,6,12,2.8,0.500,0.150,0.000,-423,-196,-4.5,10.1,0.356,740.000,0.263,0.250,0.47,0.48
Yuumi,13.01,Support,2,0.067,0.133,0.200,0.500,0.500,2,4,17,4.8,0.950,0.143,0.500,-115,355,0.5,0.2,0.004,217.000,0.088,0.089,1.32,0.15
